"模块","ID","标题","状态","正文字符数","封面图","城市","区县","描述字符数","更新时间","问题"
"中医馆","55","寇小儿中医馆碧云路店（总部）","已发布","329","有","成都市","武侯区","10","2026-09-19 10:48:24","缺出诊时间"
"中医馆","54","仁铭君医&middot;中医馆","已发布","342","无","","","49","2026-09-14 10:18:07","无封面；缺地区；缺擅长项目；缺出诊时间；缺预约方式"
"中医馆","53","金针度世中医馆","已发布","344","无","","","42","2026-09-14 10:18:07","无封面；缺地区；缺出诊时间"
"中医馆","52","民仁堂中医馆","已发布","344","无","成都市","成华区","44","2026-09-14 10:18:07","无封面；缺擅长项目；缺出诊时间；缺预约方式"
"中医馆","51","汉棠中医诊所（汉棠汉方医美）","已发布","379","无","成都市","武侯区","45","2026-09-14 10:18:07","无封面；缺出诊时间"
"中医馆","50","北京同仁堂成都店","已发布","337","无","成都市","武侯区","45","2026-09-14 10:18:07","无封面；缺出诊时间"
"中医馆","49","卢火神扶阳中医馆","已发布","378","无","成都市","武侯区","46","2026-09-14 10:18:07","无封面；缺出诊时间"
"中医馆","48","同善堂国医馆（老字号）","已发布","306","无","成都市","武侯区","45","2026-09-14 10:18:07","无封面"
"中医馆","47","承启堂中医馆（蜀汉/高新/大源等10+直营）","已发布","331","无","成都市","金牛区","51","2026-09-14 10:18:07","无封面；缺出诊时间"
"中医馆","46","秉正堂中医馆（新乐路总店/西村店等）","已发布","387","无","成都市","青羊区","51","2026-09-14 10:18:07","无封面；缺出诊时间"
"中医馆","45","至真堂中医馆（青羊/高新/成华馆）","已发布","310","无","成都市","青羊区","48","2026-09-14 10:18:07","无封面；缺出诊时间"
"中医馆","44","杏林春堂国医馆（连锁）","已发布","360","无","成都市","成华区","49","2026-09-14 10:18:07","无封面；缺出诊时间"
"中医馆","43","殊德医馆","已发布","837","有","成都市","青羊区","236","2026-09-12 20:17:24","缺擅长项目；缺出诊时间；缺预约方式"
"中医馆","42","德仁堂中医馆","已发布","349","有","成都市","锦江区","45","2026-09-12 08:53:21","缺出诊时间"
"中医馆","40","承启堂中医馆&middot;蜀汉馆","已发布","447","有","成都市","金牛区","36","2026-09-12 09:07:20","缺擅长项目；缺出诊时间；缺预约方式"
"中医馆","33","承启堂&middot;佑健针灸馆","已发布","491","有","成都市","金牛区","46","2026-09-12 10:09:49","缺出诊时间；缺预约方式"
"少儿中医","1","少儿中医研学体验活动","已发布","41","无","","","46","2026-09-17 05:41:16","正文过短；无封面；缺地区"
