名字,门头照,是否支持医保,是否支持统筹,电话,地址（代表门店）,医馆简介
德仁堂中医馆（中华老字号·连锁）,https://image.baidu.com/search/index?tn=baiduimage&wd=德仁堂中医馆,支持,已开通（桐梓林北路店2023年开通职工门诊统筹·二级医院标准·各门店不同）,028-69332310（解放店）,春熙路走马街53号（总店）等数十家,源于1924年（前身达仁堂成都分号·1948年更名）；旗下含成都同仁堂(1740)/泰三堂/久真堂等百年品牌；省级非遗中药炮制技法；医药连锁+中医馆+饮片
杏林春堂国医馆（连锁）,https://image.baidu.com/search/index?tn=baiduimage&wd=杏林春堂国医馆,支持,已开通（饮片/免煎剂/针灸/艾灸/推拿拔罐可报销）,028-68520672（建设路店）,成华区建设路等,成都连锁国医馆代表之一；川内名老中医坐诊多；统筹报销流程公开成熟
至真堂中医馆（青羊/高新/成华馆）,https://image.baidu.com/search/index?tn=baiduimage&wd=至真堂中医馆,支持（含全川21市州异地医保）,以门店为准,028-81477120(青羊) 028-67831951(高新) 028-67578816(成华),青羊区光华北三路184号；高新区盛邦街589号；成华区昭觉寺南路,1500㎡+门诊；成都中医药大学教授级专家团队40余人；中医药大学附院针灸学校教学门诊；代煎/免煎/膏方定制
秉正堂中医馆（新乐路总店/西村店等）,https://image.baidu.com/search/index?tn=baiduimage&wd=秉正堂中医馆,未公开确认,建议致电,028-85318550 / 028-85325333（总店） 028-87324188（西村）,高新区新乐路360号；青羊区西村大院2栋405,2012年创立；青年中医+药食同源生活方式代表（x杜甫草堂获奖）；每晚22点放次日号；官网zenhealing.cn
承启堂中医馆（蜀汉/高新/大源等10+直营）,https://image.baidu.com/search/index?tn=baiduimage&wd=承启堂中医馆,未公开确认,建议致电,028-87342345(蜀汉) 028-85318911(高新) 028-83186866(大源),金牛区蜀兴南街8号；高新区天久北巷195号；天府二街1293号,2012年立馆；直营10余家（含广州/宜宾）；坐诊医师100+（国务院津贴4名/省名中医7名）；自建彭州中心药房控饮片品质；连续三年医馆界心医奖
同善堂国医馆（老字号）,https://image.baidu.com/search/index?tn=baiduimage&wd=同善堂国医馆 成都,未公开确认,建议致电,028-85425335 / 15908131283（电信路店）,武侯祠横街1号附2号；电信路28号附7-8号（09:00-22:00）,成都老字号药堂品牌；医+药结合；武侯祠店邻景区、电信路店近华西坝
卢火神扶阳中医馆,https://image.baidu.com/search/index?tn=baiduimage&wd=卢火神扶阳中医馆,自费为主（未确认）,建议致电,028-85081101,武侯区丽都路2号附14号（科园站A1口）,扶阳流派（卢铸之—卢崇汉一脉）传习馆；卢崇汉为成都中医药大学教授/扶阳学派领军人物；卢老号初诊1000元限号需预约
北京同仁堂成都店,https://image.baidu.com/search/index?tn=baiduimage&wd=北京同仁堂 成都 店,以门店为准,以门店为准,028-85053903,桐梓林等（多家门店）,京城老字号分号；经典中成药/参茸细料齐全；设坐堂医
汉棠中医诊所（汉棠汉方医美）,https://image.baidu.com/search/index?tn=baiduimage&wd=汉棠汉方 中医,不支持（第三方平台标注非医保）,不支持,028-62639855,武侯区科华北路62号力宝大厦2楼8号,唐朝御医董黉第39代传人+成都中医药大学教授团队联合创建；中医调理+医学美容+推拿瘦身
民仁堂中医馆,,,未核实,028-83276315,成华区方向,地图POI收录
金针度世中医馆,,,未核实,13438362233,,针灸特色
仁铭君医·中医馆,,,未核实,18081888116,,地图POI收录
寇小儿中医馆,,,未核实,（公众号预约）,,成都知名儿科中医连锁
